,Practice_Code,BNF_Code,BNF_Description,Items,Quantity,ADQ_Usage
783,D82628,0407020B0BFABAD,Tephine_Tab Subling 400mcg,2,84,112.0
784,P92002,0407020B0BGACAG,Hapoctasin_Patch 70mcg/hr,1,8,24.0
785,C84001,0407020B0BPACAG,Relevtec_Transdermal Patch 70mcg/hr,1,8,24.0
786,B86054,0407020B0BQACAJ,Bupramyl_Transdermal Patch 20mcg/hr,1,4,12.0
787,P81078,0407020G0AAACAC,Dihydrocodeine Tart_Tab 30mg,14,224,784.0
788,L81019,0407020Q0AADCDC,Morph Sulf_Gran Sach 60mg M/R,1,30,18.0
789,P92020,0407020Q0AAEHEH,Morph Sulf_Cap 60mg M/R,1,60,36.0
790,N84038,0407020Q0BBAAAK,MST Continus_Tab 10mg,1,56,5.6
791,P92021,0407020Q0BBABAL,MST Continus_Tab 30mg,4,60,72.0
792,P92016,0407020Q0BBAEAG,MST Continus_Tab 200mg,1,112,224.0
793,L83066,0407041AAAAAAAA,Eletriptan_Tab 20mg,1,10,5.0
794,P92002,0407041ABBBAAAA,Migard_Tab 2.5mg,1,6,6.0
795,E81004,0407041T0BBAIAF,Imigran Radis_Tab 50mg,1,12,6.0
796,P92024,0407041Z0AAADAD,Zolmitriptan_Orodisper Tab 5mg S/F,1,6,12.0
797,C84013,0407041Z0AAAEAE,Zolmitriptan_Tab 5mg,1,6,12.0
798,J81069,0407042Q0AAAEAE,Pizotifen Malate_Oral Susp 250mcg/5ml,1,300,99.99999
799,P92014,040801050BBACAC,Topamax_Tab 200mg,1,112,56.0
800,P92029,040801050BBADAD,Topamax_Tab 25mg,1,28,1.75
801,C84034,040801060AACRCR,Clobazam_Oral Susp 5mg/5ml S/F,3,450,67.5
802,L81648,040801060BDABCS,Tapclob_Oral Susp 10mg/5ml,1,150,15.0
803,E81036,0408010A0BDACAM,Desitrend_Gran Sach 1g,1,60,40.0
804,P92021,0408010AEBBAAAA,Lyrica_Cap 25mg,1,56,4.66666
805,E81061,0408010AEBFAHAG,Axalid_Cap 300mg,1,56,56.0
806,P92017,0408010C0AAAGAG,Carbamazepine_Tab 200mg M/R,2,56,28.0
807,P92642,0408010C0BFAAAG,Carbagen SR_Tab 200mg,1,112,28.0
808,N81122,0408010F0AABSBS,Clonazepam_Liq Spec 2mg/5ml,1,450,45.0
809,P92034,0408010G0BBAAAA,Neurontin_Cap 100mg,1,56,4.66666
810,P92016,0408010W0BBADAA,Epilim_Liq 200mg/5ml S/F,1,900,29.99999
811,P92014,0408010W0BBAMBS,Epilim Chronosphere_Gran Sach 500mg M/R,1,60,25.0
812,C84094,0408010W0BBANBV,Epilim Chronosphere_Gran Sach 50mg M/R,1,84,3.49999
813,Y02886,0408010W0BBASBT,Epilim Chronosphere_Gran Sach 1000mg M/R,1,30,24.99999
814,G81613,0408010W0BEACAA,Orlept_Liq 200mg/5ml S/F,1,3600,119.99999
815,F81069,0409010H0BKACAM,Ropiqual XL_Tab 8mg,1,7,9.33333
816,P92019,0409010K0AAAMAM,Co-Beneldopa_Tab Disper 12.5mg/50mg S/F,1,84,27.99999
817,E81056,0409010U0AAAAAA,Cabergoline_Tab 1mg,1,20,20.0
818,P92026,0409010W0BBACAC,Mirapexin_Tab 0.088mg,2,30,211.2
819,G82057,0409010W0BBAEAE,Mirapexin_Tab 0.26mg M/R,2,30,6.24
820,P92642,0409010W0BBAHAH,Mirapexin_Tab 2.1mg M/R,1,28,23.52
821,P92017,0409010W0BBAIAI,Mirapexin_Tab 3.15mg M/R,1,30,37.8
822,P92642,0409010X0BBACAC,Stalevo_Tab 150mg/37.5mg/200mg,1,224,56.0
823,C84024,0409010Z0AAAGAG,Rotigotine_Transdermal Patch 3mg/24hrs,1,28,28.0
824,G81034,0409020N0BCAAAI,Disipal_Tab 50mg,1,112,37.33333
825,P92024,0409020S0AAAGAG,Procyclidine HCl_Oral Soln 2.5mg/5ml S/F,1,150,4.99999
826,C87008,0409030C0BCAAAA,Xenazine 25_Tab 25mg,2,28,28.0
827,H81037,0409030R0AAAAAA,Riluzole_Tab 50mg,1,112,56.0
828,P81137,0410030A0BFAAAL,Espranor_Oral Lyophilisate 2mg,1,22,73.33333
829,G83049,0411000F0BBAFAE,Reminyl XL_Cap 8mg P/R,1,7,3.5
830,D81024,0411000G0BBABAB,Ebixa_Oral Soln 5mg/0.5ml Pump Actuation,1,50,25.0
831,D82023,0411000G0BDABAD,Marixino_Tab 20mg,2,28,56.0
832,B83022,0411000G0BGAAAH,Alzhok_Tab Solb 10mg,1,60,30.0
833,M82025,0501011P0AAADAD,Phenoxymethylpenicillin_Soln 125mg/5ml,1,200,5.0
834,P92016,0501012G0AAAQAQ,Fluclox Sod_Oral Soln 250mg/5ml S/F,4,100,20.0
835,P92016,0501013B0AAABAB,Amoxicillin_Cap 500mg,1,12,8.0
836,Y00561,0501013L0AAAAAA,Co-Fluampicil_Cap 250mg/250mg,1,112,28.0
837,P92038,0501021L0BCAAAA,Keflex_Cap 250mg,1,100,25.0
838,M84009,0501021L0BCADAH,Keflex_Tab 500mg,1,14,7.0
839,P92017,0501030I0AAAEAE,Doxycycline Hyclate_Tab Disper 100mg S/F,3,8,24.0
840,Y04029,0501030I0BEADAE,Vibramycin-D_Tab Disper 100mg,1,7,7.0
841,L81045,0501030P0AAADAD,Minocycline HCl_Cap 50mg,1,56,28.0
842,P92024,0501050C0AAAKAK,Erythromycin_Cap E/C 250mg,1,112,28.0
843,F82019,0501050H0BDANAL,Erythroped PI SF_Susp 125mg/5ml,1,140,3.5
844,P92035,0501050N0AAABAB,Erythromycin Stearate_Tab 500mg,1,80,40.0
845,E81050,0501080D0AAAHAH,Co-Trimoxazole_Tab 80mg/400mg,1,14,3.5
846,P92016,0501080D0AAAJAJ,Co-Trimoxazole_Tab 160mg/800mg,1,14,7.0
847,B83629,0501080D0BGACAJ,Septrin Fte_Tab 160mg/800mg,1,12,6.0
848,M85092,0501090R0AAABAB,Rifampicin_Cap 300mg,2,56,56.0
849,L81087,0501130R0AAAMAM,Nitrofurantoin_Liq Spec 25mg/5ml,1,100,2.5
850,G82056,0502010B0BDAAAB,Canesten_Thrush Oral Cap 150mg,1,1,0.75
851,P82660,0502030B0AAAXAX,"Nystatin_Oral Susp 100,000u/ml S/F",1,30,7.5
852,K84054,0502030B0BBABAB,Nystan_Susp (Ready Mixed),7,30,52.5
853,B83657,0503010N0AAAFAF,Didanosine_Cap E/C 125mg,1,30,9.375
854,B86014,0503031A0AAAAAA,Adefovir Dipivoxil_Tab 10mg,1,30,30.0
855,M87602,0503031B0AAAAAA,Entecavir_Tab 500mcg,1,28,28.0
856,P88020,0503040B0AAAGAG,Oseltamivir Phos_Oral Susp 6mg/1ml S/F,1,130,5.2
857,P92023,0601021A0AAABAB,Glimepiride_Tab 1mg,1,90,45.0
858,P92034,0601021M0AAAUAU,Gliclazide_Oral Susp 40mg/5ml,1,140,7.0
859,M85136,0601021M0BIABAM,Zicron PR_Tab 30mg,4,28,21.0
860,E81061,0601023B0BDAAAB,Glidipion_Tab 30mg,1,84,84.0
861,Y04274,0601023B0BEABAB,Diabiom_Tab 30mg,1,112,112.0
862,P92008,0601023Y0AAABAB,Exenatide_Inj 10mcg/0.04ml 2.4mlPfP(60D),1,1,40.0
863,L81028,0601023Z0BBABAB,Eucreas_Tab 50mg/850mg,1,120,60.0
864,D81041,0602010M0AAAIAI,Liothyronine Sod_Cap 2.5mcg,1,68,4.25
865,E82005,0602010V0AABWBW,Levothyrox Sod_Tab 25mcg,1,72,18.0
866,F85684,0902012H0BBAEAE,Dioralyte_Pdr Sach (Natur),1,6,1.5
867,M85066,100101050BBAAAA,Emflex_Cap 60mg,1,160,80.0
868,M85011,1001010ADBEABAC,Nurofen Express_Capl 684mg,1,72,23.99999
869,P92026,1001010AJAAACAC,Etoricoxib_Tab 120mg,1,28,56.0
870,D82085,1001010APBBAAAA,Nurofen Express_Tab 256mg,1,16,2.66666
871,G83033,1001010C0AAABAB,Diclofenac Sod_Suppos Paed 12.5mg,1,10,1.25
872,P92642,1001010C0AAAMAM,Diclof Sod E/C /Misopros_Tab 50mg/200mcg,1,60,30.0
873,M82017,1001010C0AAAVAV,Diclofenac Sod_Oral Soln 50mg/5ml,1,450,45.0
874,H83013,1001010C0AAAWAW,Diclofenac Sod_Cap 75mg M/R,1,56,42.0
875,P92016,1001010C0BLABAX,Arthrotec 75_Tab,1,60,30.0
876,M92609,1001010C0BQAAAD,Dicloflex_Tab E/C 25mg,1,84,21.0
877,G84010,1001010J0AAADAD,Ibuprofen_Tab 200mg,1,42,7.0
878,Y00996,1001010J0B4AEAD,Nurofen_Capl 200mg,1,24,4.0
879,L82016,1001010J0BCACAF,Brufen_Tab 600mg,1,30,15.0
880,L81025,1001010J0BCAEAN,Brufen_Gran Eff Sach 600mg,1,20,10.0
881,F81195,1001010J0DIAAAA,Flarin_Cap 200mg,1,30,5.0
882,N85034,1001010L0AAAAAA,Ketoprofen_Cap 50mg,1,84,27.99999
883,D82043,1001010R0AAADAD,Piroxicam_Tab Disper 10mg,1,30,15.0
884,M85087,1001010R0BBABAB,Feldene 20_Cap 20mg,2,30,60.0
885,M85087,1001010X0BBAAAA,Relifex_Tab 500mg,1,224,112.0
886,L81064,1202010M0BDAAAD,Pirinase_Hayfever Nsl Spy 0.05% (60D),1,2,0.05
887,J81051,1202010M0BDABAD,Pirinase_H/FvrRelAdult NslSpy 0.05%(60D),1,1,0.025
888,P92020,1202010U0BBAAAA,Nasonex_Aq N/Spy 50mcg (140 D),1,1,17.5
889,N85007,0102000T0BJAAAA,Colomint_Cap G/R 0.2ml,1,56,18.66666
890,P92006,0103030S0AAABAB,Sucralfate_Susp 1g/5ml S/F,1,500,25.0
891,G83004,0103050E0BCAAAF,Emozul_Cap E/C 20mg,1,28,28.0
892,C84016,0103050L0AAAIAI,Lansoprazole_Liq Spec 10mg/5ml,1,180,18.0
893,F85002,0103050L0AAAMAM,Lansoprazole_Oral Soln 15mg/5ml,1,50,7.5
894,M81027,0103050P0AABABA,Omeprazole_Liq Spec 2mg/5ml,1,15,0.3
895,H81013,0103050R0BCAAAB,Pantoloc Control_Tab E/C 20mg,1,28,18.66666
896,J81041,0103050T0AAAAAA,Rabeprazole Sod_Tab E/C 10mg,4,56,149.33332
897,Y02322,0105010B0BBADAG,Asacol_Suppos 250mg,1,40,6.25
898,L81045,0105010B0BDAAAH,Salofalk_Tab G/R 250mg,1,100,15.625
899,G84004,0105010E0AAACAC,Sulfasalazine_Suppos 500mg,1,10,2.5
900,G84033,0106020C0AAAUAU,Bisacodyl_Suppos 7.5mg,1,36,27.0
901,E84009,0106020I0AAAHAH,Docusate Sod_Oral Soln 12.5mg/5ml S/F,2,300,7.5
902,Y02333,0106020M0AAAEAE,Senna_Oral Soln 7.5mg/5ml,1,500,50.0
903,P92023,0106040G0AAAGAG,Lactulose_Soln 10g/15ml Sach 15ml S/F,1,60,30.0
904,B82075,0106040M0BIAAAA,Molative_Pdr Sach 13.8g,1,60,30.0
905,C84023,0106040X0BBAAAA,Idrolax_Pdr Sach 10g (Orange&G/Fruit)S/F,1,100,50.0
906,P92023,0202030S0AAAVAV,Spironol_Tab 100mg,1,84,336.0
907,G84018,0202030S0AACNCN,Spironol_Oral Soln 25mg/5ml,1,250,50.0
908,C81052,0202030S0AACPCP,Spironol_Oral Soln 50mg/5ml,2,100,80.0
909,P92023,0202040C0BDAAAA,Moduretic_Tab 5mg/50mg,1,84,84.0
910,L81122,0202040C0BIAAAB,Moduret 25_Tab 2.5mg/25mg,1,28,28.0
911,C83013,0203020D0AAAVAV,Amiodarone HCl_Liq Spec 200mg/5ml,1,30,6.0
912,C83020,0203020D0BBABAB,Cordarone X 200_Tab 200mg,2,7,14.0
913,P92017,0203020F0AAACAC,Disopyramide_Cap 150mg,1,28,10.5
914,K84002,0203020G0AAACAC,Disopyramide Phos_Tab 250mg M/R,1,90,56.25
915,P92015,0203020I0AAAKAK,Flecainide Acet_Tab 50mg,2,112,56.0
916,C82121,0203020I0AABQBQ,Flecainide Acet_Cap 200mg M/R,1,56,56.0
917,C84692,0203020R0AAABAB,Propafenone HCl_Tab 300mg,1,60,60.0
918,P92017,020400040AAABAB,Co-Tenidone_Tab 100mg/25mg,1,28,28.0
919,P92006,0204000H0AABHBH,Bisoprolol Fumar_Oral Susp 5mg/5ml,1,100,10.0
920,G83053,0204000H0BFAAAM,Cardicor_Tab 1.25mg,2,56,14.0
921,E82086,0204000I0AAABAB,Labetalol HCl_Tab 50mg,2,56,9.33333
922,M85084,0204000I0BCADAE,Trandate_Tab 400mg,1,56,37.33333
923,L82023,0204000M0AAABAB,Nadolol_Tab 80mg,1,28,18.66666
924,M81003,0204000M0BBABAB,Corgard_Tab 80mg,1,56,37.33333
925,D82044,0204000R0BDAFAA,Bedranol S.R._Cap 80mg (Almus),1,28,18.66666
926,P92006,0204000R0BNAAAB,Beta-Prograne MR_Cap 160mg,1,56,74.66666
927,M87013,0204000R0BVAACW,Syprol_Oral Soln 5mg/5ml S/F,1,150,1.24999
928,P92019,0204000T0AAAEAE,Sotalol HCl_Tab 160mg,1,56,56.0
929,D82001,0204000T0AAAMAM,Sotalol HCl_Liq Spec 40mg/5ml,1,600,30.0
930,M82026,0204000T0AAATAT,Sotalol HCl_Oral Soln 25mg/5ml,1,400,12.5
931,B81025,0205010N0BBAAAA,Loniten_Tab 2.5mg,1,30,3.75
932,Y03051,0205010N0BBABAB,Loniten_Tab 5mg,1,60,15.0
933,F86028,0205020H0BBABAD,Aldomet_Tab 250mg,1,28,7.0
934,F86022,0205040D0AAAZAZ,Doxazosin Mesil_Oral Soln 1mg/5ml,1,600,30.0
935,K84020,0205040D0AABABA,Doxazosin Mesil_Oral Susp 1mg/5ml,2,100,10.0
936,J81625,0205040D0BDABAB,Doxadura_Tab 2mg,1,84,42.0
937,M81034,0205040S0AAAEAE,Prazosin HCl_Tab 5mg,1,100,100.0
938,P92021,0205051L0AAABAB,Lisinopril_Tab 5mg,3,84,126.0
939,L81007,0205051Q0AAABAB,Quinapril HCl_Tab 10mg,1,56,37.33333
940,M83021,0205051R0AAAFAF,Ramipril_Liq Spec 2.5mg/5ml,1,150,15.0
941,E81044,0205051S0AAABAB,Felodipine/Ramipril_Tab 5mg/5mg M/R,2,28,56.0
942,P92019,0205051Y0AAABAB,Perindopril Arginine_Tab 5mg,3,30,90.0
943,Y02378,0205052B0AAAAAA,Olmesartan Medoxomil_Tab 10mg,2,56,74.66666
944,P92006,0205052C0BBAEAH,Amias_Tab 32mg,1,28,112.0
945,P92023,0205052N0AAADAD,Losartan Pot_Tab 100mg,1,4,8.0
946,C84646,0205052W0AAAAAA,Eprosartan_Tab 300mg,1,28,14.0
947,P92033,0206020A0AAATAT,Amlodipine_Oral Soln 10mg/5ml S/F,1,150,60.0
948,P92017,0206020C0AAAVAV,Diltiazem HCl_Cap 180mg M/R,1,56,56.0
949,P92034,0206020C0BHAAAJ,Dilzem SR 60_Cap 60mg,1,56,18.66666
950,P92016,0206020C0BNAEBA,Viazem XL_Cap 360mg,1,56,112.0
951,C84013,0206020C0BPABAU,Dilcardia SR_Cap 120mg,1,56,37.33333
952,E82019,0206020C0BVAAAV,Zemret 180 XL_Cap 180mg,2,28,56.0
953,P92004,0206020F0BKACAD,Cardioplen XL_Tab 2.5mg,1,56,28.0
954,E82092,0206020R0AAAAAA,Nifedipine_Cap 5mg,1,90,15.0
955,P92017,0206020R0AAABAB,Nifedipine_Cap 10mg,1,84,27.99999
956,P92026,0206020R0AAAEAE,Nifedipine_Tab 10mg M/R,1,168,55.99999
957,P92021,0206020R0BBAIAP,Adalat LA _Tab 60mg,1,28,56.0
958,D81062,0206020R0CJABAP,Nidef_Tab 60mg M/R,1,28,56.0
959,F83632,0209000A0BQAAAB,Danamep_Tab Disper 75mg,1,28,14.0
960,E82100,0209000C0AAALAL,Clopidogrel_Oral Susp 1mg/1ml,1,100,1.33333
961,F81134,0212000A0AAAAAA,Acipimox_Cap 250mg,1,90,45.0
962,P92008,0212000AABBABAB,Crestor_Tab 20mg,1,28,56.0
963,P92028,0212000ABAAAAAA,EPA/DHA_Cap 460mg/380mg,1,56,56.0
964,P92605,0212000D0BBAAAA,Bezalip_Tab 200mg,1,28,14.0
965,P83620,0212000K0BBAAAA,Colestid_Gran Sach 0.2% 5g,1,30,0.003
966,B87040,0212000Y0BBADAH,Zocor_Tab 80mg,2,28,149.33333
967,F81623,0301011R0AAAAAA,Salbutamol_Inha 100mcg (200 D),1,1,50.0
968,C84032,0301011R0AAADAD,Salbutamol_Inha B/A 100mcg (200 D),1,1,50.0
969,A82021,0301011R0AABDBD,Salbutamol_Inh Soln 5mg/2.5ml Ud,3,20,30.0
970,P92023,0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D),1,2,100.0
971,P92623,0301011R0BIAFAP,Salamol_Inha 100mcg (200 D) CFF (Teva),1,2,100.0
972,L82004,0301011U0BDAAAH,Neovent_Inha 25mcg (120 D) CFF,1,1,30.0
973,G84006,0301011V0AAALAL,Terbut Sulf_B/A Inha 500mcg (100 D),1,2,100.0
974,P92020,0301011X0BBAAAA,Onbrez Breezhaler_Pdr Inh Cap 150mcg+Dev,2,30,60.0
975,H83631,0301030S0AAAMAM,Theophylline_Tab 200mg M/R,1,56,28.0
976,P81204,0301030S0AAAPAP,Theophylline_Tab 300mg M/R,1,28,21.0
977,Y02129,0301030S0AABKBK,Theophylline_Oral Soln 50mg/5ml,2,1120,56.0
978,Y00807,0302000C0AAABAB,Beclomet Diprop_Inha 100mcg (200D),1,1,50.0
979,P92028,0302000C0BJADBH,Qvar 100_Autohaler 100mcg (200 D),1,1,100.0
980,E85024,0302000C0BNAABU,Easyhaler_Beclomet 200mcg (200 D),1,1,100.0
981,P92015,0302000K0AAAIAI,Budesonide_Inh Soln 1mg/2ml Ud Vl,1,56,37.33333
982,P81771,0302000K0AAAWAW,Budesonide_Pdr For Inh 200mcg (100D) Ref,1,1,50.0
983,P92016,0302000K0BDAAAL,Symbicort_Turbohaler 100mcg/6mcg (120 D),4,1,240.0
984,P92029,0302000K0BHAAAM,DuoResp Spiromax_Inh 160mcg/4.5mcg(120D),1,1,60.0
985,P92020,0302000N0AAAWAW,Fluticasone Prop_Inh Soln 2mg/2ml Ud,1,30,30.0
986,P92021,0302000N0AAAZAZ,Fluticasone/Salmeterol_Inh 500/50mcg 60D,13,1,390.0
987,P92026,0302000N0AABCBC,Fluticasone Prop_Inha 250mcg (120 D) CFF,4,1,600.0
988,Y02648,0302000N0BBARAR,Flixotide_Accuhaler 50mcg (60 D),2,1,30.0
989,C84094,0302000N0BIABBG,Sereflo_Inh 250mcg/25mcg (120D),15,1,450.0
990,G82020,0302000N0BJABBG,Aloflute_Inh 250mcg/25mcg (120D),1,1,30.0
991,C84024,0302000U0BBACAC,Alvesco 160_Inh 160mcg (60 D) CFF,1,1,60.0
992,E81004,0303020Z0BBAAAA,Accolate_Tab 20mg,1,56,28.0
993,K84010,0304010E0AAAAAA,Fexofenadine HCl_Tab 120mg,1,60,60.0
994,P92642,0304010E0AAACAC,Fexofenadine HCl_Tab 30mg,2,60,30.0
995,B81054,0304010I0BBAAAA,Zirtek_Tab 10mg,1,30,30.0
996,P82626,0304010J0AAAFAF,Hydroxyzine HCl_Liq Spec 5mg/5ml,1,100,4.0
997,G82093,0304010W0BBAAAD,Phenergan_Tab 10mg,1,56,22.4
998,G82682,0401010C0AAAAAA,Cloral Betaine_Tab 707mg,1,30,15.0
999,F84122,0401010T0AAAEAE,Temazepam_Oral Soln 10mg/5ml S/F,1,600,60.0
1000,P92042,040201060AAABAB,Olanzapine_Tab 7.5mg,2,28,42.0
1001,P92035,040201060AAAPAP,Olanzapine_Oral Lyophilisate Tab 20mgS/F,1,28,56.0
1002,J81068,040201060BBAKAQ,Zyprexa_Tab 20mg,1,28,56.0
1003,D83029,0402010A0BBAEAG,Solian 100_Tab 100mg,1,60,15.0
1004,M92013,0402010ABAAAKAK,Quetiapine_Tab 300mg,1,60,60.0
1005,L81059,0402010ABBBAIAW,Seroquel XL_Tab 200mg,1,28,18.66666
1006,L81016,0402010ABBBAJAX,Seroquel XL_Tab 300mg,1,30,30.0
1007,G84027,0402010ABBCAAAV,Sondate XL_Tab 50mg,1,120,19.99999
1008,L83074,0402010ABBGAEBA,Atrolak XL_Tab 150mg,1,60,30.0
1009,Y02571,0402010ABBHAAAV,Zaluron XL_Tab 50mg,1,56,9.33333
1010,D81082,0402010C0BBABAB,Clozaril_Tab 100mg,1,28,9.33333
1011,C83019,0402010J0AAA5A5,Haloperidol_Liq Spec 250mcg/5ml,2,300,3.75
1012,Y00445,0402010K0AAASAS,Levomeprom Mal_Oral Susp 62.5mg/5ml,1,1800,75.0
1013,P92030,0402010T0AAABAB,Zuclopenth HCl_Tab 10mg,1,100,33.33333
1014,G83028,0402010X0AAAKAK,Trifluoperazine_Oral Soln 5mg/5ml S/F,1,150,7.5
1015,K82631,0402020L0AAABAB,Fluphenazine Decan_Inj 100mg/ml 0.5ml Am,1,5,250.0
1016,E81030,0403010F0AAAGAG,Clomipramine HCl_Tab 75mg M/R,8,14,112.0
1017,P92017,0403010J0AAAIAI,Dosulepin HCl_Tab 75mg,1,56,56.0
1018,A84039,0403010J0BBAAAA,Prothiaden_Cap 25mg,1,168,55.99999
1019,C84001,0403010J0BBABAI,Prothiaden_Tab 75mg,1,56,56.0
1020,C84067,0403010X0AAAGAG,Trazodone HCl_Liq Spec 50mg/5ml,1,170,11.33333
1021,L81039,0403010Y0AAACAC,Trimipramine Mal_Tab 25mg,1,56,18.66666
1022,J81051,0403020K0AAAAAA,Moclobemide_Tab 150mg,1,28,14.0
1023,P92015,0403030E0AAAKAK,Fluoxetine HCl_Tab Disper 20mg S/F,1,28,28.0
1024,P92017,0403030X0AAABAB,Escitalopram_Tab 20mg,4,28,224.0
1025,J81027,0403040S0AAAGAG,Tryptophan_Cap 50mg,1,336,5.59999
1026,E81014,0403040W0AAASAS,Venlafaxine_Cap 37.5mg M/R,3,28,31.5
1027,K83017,0403040W0BCABAE,Rodomel XL_Cap 150mg,1,28,42.0
1028,L81070,0403040X0BBACAL,Zispin_SolTab 15mg,1,60,30.0
1029,P92026,0403040Y0AAABAB,Duloxetine HCl_Cap G/R 60mg,10,28,280.0
1030,J82622,0405010P0BCAAAB,Alli_Cap 60mg,1,84,13.99999
1031,Y05826,0405010P0BEAAAB,Orlos_Cap 60mg,1,168,27.99999
1032,P92023,0406000B0AAAAAA,Betahistine HCl_Tab 8mg,9,84,189.0
1033,F81082,0406000B0AAAGAG,Betahistine HCl_Oral Susp 8mg/5ml,1,600,30.0
1034,P92621,0406000D0BBAAAA,Stugeron_Tab 15mg,1,84,27.99999
1035,G83062,0406000F0AAAVAV,Cyclizine HCl_Liq Spec 25mg/5ml,2,100,10.0
1036,P92646,0406000G0AAAAAA,Cyclizine Lact_Inj 50mg/ml 1ml Amp,1,5,1.66666
1037,G82055,0406000M0BBADAD,Kytril_Tab 2mg,2,10,20.0
1038,C82076,0406000P0BBAAAE,Maxolon_Tab 10mg,1,84,27.99999
1039,P92019,0406000T0BFAAAK,Buccastem M_Tab 3mg,1,50,16.66666
1040,M85107,0406000U0BBAAAA,Stemetil_Syr 5mg/5ml,1,150,15.0
1041,P92642,0407010F0AAADAD,Co-Codamol_Cap 30mg/500mg,32,100,533.33331
1042,P92026,0407010F0AAAFAF,Co-Codamol Eff_Tab 30mg/500mg,2,32,10.66666
1043,P92623,0407010F0BGACAD,Solpadol_Cap 30mg/500mg,3,56,28.0
1044,P92011,0407010H0AAAAAA,Paracet_Cap 500mg,1,224,37.33333
1045,L81010,0407010H0AABSBS,Paracet_Suppos 240mg,1,30,2.4
1046,L83079,0407010H0AACWCW,Paracet_Suppos 60mg,1,10,0.2
1047,P92020,040702040AAADAD,Tramadol HCl_Tab 150mg M/R,1,30,22.5
1048,L81028,040702040AAAPAP,Tramadol HCl_Tab 75mg M/R,1,120,45.0
1049,Y05231,040702040AAATAT,Tramadol HCl_Orodisper Tab 50mg S/F,2,28,14.0
1050,F85063,040702040AAAZAZ,Tramadol HCl_Oral Susp 50mg/5ml,2,1000,100.0
1051,L84060,040702040BBACAC,Zydol SR_Tab 100mg,1,60,30.0
1052,D81039,040702040BHABAD,Mabron_Tab 150mg M/R (Morningside),1,60,45.0
1053,Y02933,040702040BHADAC,Mabron_Tab 100mg M/R (Teva),1,28,14.0
1054,K84027,040702040BJAAAG,Tramquel SR_Cap 50mg,1,60,15.0
1055,A89015,040702050BBAFAA,Palladone-SR_Cap 16mg,3,28,111.99999
1056,G83028,0407020ADAAAPAP,Oxycodone HCl_Tab 120mg M/R,4,49,392.0
1057,P92012,0407020ADBBACAC,OxyNorm_Cap 5mg,1,112,9.33333
1058,P92620,0407020ADBCAGAQ,OxyContin_Tab 60mg M/R,1,28,28.0
1059,P92021,0407020ADBEAEAI,Longtec_Tab 80mg M/R,1,56,74.66666
1060,P92011,0407020B0AAAEAE,Buprenorphine_Patch 35mcg/hr (96hr),1,14,42.0
1061,P92021,0407020B0BBAAAB,Temgesic_Tab Subling 200mcg,1,100,33.33333
1062,P92028,0407020B0BDABAF,Transtec_T/Derm Patch 52.5mcg/hr (30mg),3,4,36.0
1063,P92008,0407020B0BKABAI,Reletrans_Transdermal Patch 10mcg/hr,1,8,24.0
1064,C84001,0407020B0BPABAF,Relevtec_Transdermal Patch 52.5mcg/hr,3,8,72.0
1065,B87020,0407020B0BSACAG,Turgeon_Transdermal Patch 70mcg/hr,1,8,24.0
1066,P92002,0407020K0AAABAB,Diamorph HCl_Inj 10mg Amp,1,5,1.66666
1067,N82019,0407020K0AAEHEH,Diamorph HCl_Inj 100mg Vl (Dry),1,10,33.33333
1068,H81615,0407020Q0AAA4A4,Morph Sulf_Inj 1mg/1ml Amp,1,5,0.16666
1069,E82090,0407020Q0AAA6A6,Morph Sulf_Conc Soln 20mg/ml S/F,1,120,24.0
1070,P92021,0407020Q0AAALAL,Morph Sulf_Tab 30mg M/R,3,14,12.6
1071,M85117,0407020Q0AAAMAM,Morph Sulf_Inj 60mg/2ml Amp,2,15,60.0
1072,C82678,0407020Q0AAENEN,Morph Sulf_Inj 50mg/50ml Vl,1,5,8.33333
1073,E82054,0407020Q0AAFWFW,Morph Sulf_Inj 50mg/5ml Amp,1,1,0.33333
1074,P92017,0407041Z0BBACAC,Zomig_Nsl Spy 5mg/0.1ml Ud,1,6,6.0
1075,G83044,040801050AACECE,Topiramate_Oral Soln 25mg/5ml,1,400,5.0
1076,K82073,040801060AAA3A3,Clobazam_Liq Spec 25mg/5ml,1,500,125.0
1077,J82021,040801060AABTBT,Clobazam_Tab 10mg,1,224,112.0
1078,P92021,040801060AACSCS,Clobazam_Oral Susp 10mg/5ml S/F,1,150,15.0
1079,L81124,0408010A0AAAMAM,Levetiracetam_Gran Sach 1g S/F,1,60,40.0
1080,P92016,0408010AEBBADAD,Lyrica_Cap 100mg,1,56,18.66666
1081,P92015,0408010AEBBAGAG,Lyrica_Cap 300mg,2,28,56.0
1082,D82070,0408010AEBDAHAG,Lecaent_Cap 300mg,1,56,56.0
1083,P92033,0408010C0AAAPAP,Carbamazepine_Oral Susp 100mg/5ml S/F,2,500,25.0
1084,P92010,0408010D0AAABAB,Oxcarbazepine_Tab 300mg,2,140,112.0
1085,H81618,0408010G0AAAAAA,Gabapentin_Cap 100mg,1,100,8.33333
1086,P92014,0408010H0AAAWAW,Lamotrigine_Tab Disper 100mg S/F,2,168,168.0
1087,K81083,0408010H0AAAZAZ,Lamotrigine_Liq Spec 15mg/5ml,1,1400,21.0
